사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2023-10,2호선,0205,동대문역사문화공원(DDP),252,8,"4,962","1,324","4,315","8,972","7,558","21,414","13,082","47,667","15,352","32,796","17,061","33,124","19,592","30,929","21,351","31,454","24,305","31,715","27,740","31,221","34,461","29,623","41,241","28,818","46,064","30,246","47,740","35,491","32,531","33,631","25,323","25,481","23,548","21,796","21,774","17,703","11,297","11,149","2,153","3,264",4,113,0,0,0,0
2023-10,2호선,0206,신당,30,0,"6,350","1,261","11,593","8,796","28,170","15,947","47,676","30,794","29,084","22,641","20,624","18,932","19,690","20,712","23,228","22,222","23,377","23,777","23,196","23,864","24,579","26,753","28,233","30,674","31,753","39,570","32,991","54,421","23,168","36,154","18,213","23,787","16,566","20,874","14,888","19,079","7,837","11,573","1,215","3,379",1,49,0,0,0,0
2023-10,2호선,0207,상왕십리,60,1,"5,858",852,"13,593","5,824","39,760","12,667","64,254","29,851","36,693","18,525","24,349","13,957","21,378","13,098","22,948","14,979","21,183","16,469","19,246","18,248","20,500","21,675","21,814","26,267","25,406","35,629","26,088","53,819","18,543","36,500","12,119","24,279","10,592","22,676","7,306","20,887","3,135","13,192",403,"3,682",0,44,0,0,0,0
2023-10,2호선,0208,왕십리(성동구청),841,3,"6,605","1,193","9,716","8,283","24,629","13,145","42,619","26,979","28,503","18,731","19,790","15,590","20,078","16,263","22,752","18,233","23,235","19,749","22,985","20,003","26,440","21,712","32,747","25,928","33,962","35,222","34,736","53,727","23,888","33,305","22,649","22,114","24,642","19,629","24,352","18,601","14,144","12,650","2,468","4,535",6,85,0,0,0,0
2023-10,2호선,0209,한양대,7,0,"1,217",480,"2,535","6,542","5,473","12,742","8,626","64,538","6,796","55,429","8,628","48,360","13,045","18,890","17,940","33,401","21,289","27,692","24,469","21,239","29,839","13,641","39,593","11,943","48,766","15,062","39,839","19,106","19,883","10,234","17,534","6,713","20,129","6,323","13,156","5,863","8,080","4,334","1,495","1,237",0,18,0,0,0,0
2023-10,2호선,0210,뚝섬,10,1,"3,361","2,455","8,056","16,049","18,069","38,853","25,844","130,700","17,396","89,889","15,213","43,787","17,884","37,347","22,435","39,306","26,955","40,447","31,929","38,652","41,849","39,201","54,302","38,449","83,656","41,659","134,147","50,400","68,570","28,143","47,828","15,447","43,109","13,320","28,012","11,749","11,380","7,361","1,454","2,327",0,58,0,0,0,0
2023-10,2호선,0211,성수,65,1,"5,641","3,640","9,579","32,728","22,419","68,198","30,236","237,831","24,175","148,595","22,740","82,899","27,474","70,872","35,255","73,790","43,810","78,796","53,338","76,623","66,910","74,442","85,791","72,617","135,823","73,935","238,760","77,386","118,135","44,280","87,608","22,914","74,060","18,129","51,571","15,206","21,445","12,315","2,805","6,056",5,733,0,0,0,0
2023-10,2호선,0212,건대입구,368,7,"16,292","1,948","22,236","15,534","53,085","24,512","91,708","60,057","63,296","50,919","41,487","44,175","40,552","48,211","46,552","55,312","51,758","62,236","54,038","59,830","58,496","66,142","66,594","79,713","77,171","105,863","89,031","151,751","68,031","103,415","70,950","67,370","74,772","61,963","72,390","55,095","43,605","33,917","6,570","10,389",4,743,0,0,0,0
2023-10,2호선,0213,구의(광진구청),58,2,"13,629","1,556","26,470","21,710","66,817","16,713","110,907","38,741","72,540","23,647","39,447","20,848","33,744","21,098","34,577","23,275","33,641","26,849","30,327","29,152","30,969","37,204","40,135","43,458","40,842","58,803","44,678","94,071","24,224","66,902","18,950","45,707","16,813","43,583","15,419","39,653","8,131","24,008","1,193","6,427",2,278,0,0,0,0
2023-10,2호선,0214,강변(동서울터미널),25,5,"9,106","2,338","27,634","25,868","75,208","27,431","112,407","43,739","83,962","37,085","66,726","37,294","58,851","36,289","57,531","40,892","54,067","44,721","47,859","49,746","50,083","59,080","52,916","65,768","58,015","81,043","60,754","108,425","46,913","76,514","39,679","53,542","33,172","45,316","21,736","40,483","8,799","21,962",794,"4,860",2,169,0,0,0,0
